date,stock_price,year,optimism,anxiety,sadness,surprise,neutral,anger_disgust
2013-05-01,3.552000045776367,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-06-01,6.172667026519775,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-07-01,7.811999797821045,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-08-01,9.036666870117188,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-09-01,11.262666702270508,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-10-01,12.866666793823242,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-11-01,10.811332702636719,2013,3.0,7.0,2.0,4.0,6.0,3.0
2013-12-01,8.277999877929688,2013,3.0,7.0,2.0,4.0,6.0,3.0
2014-01-01,10.006667137145996,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-02-01,11.807332992553711,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-03-01,16.70400047302246,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-04-01,14.464667320251465,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-05-01,13.84866714477539,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-06-01,13.646666526794434,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-07-01,15.981332778930664,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-08-01,15.5513334274292,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-09-01,18.941333770751953,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-10-01,16.016000747680664,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-11-01,16.172666549682617,2014,6.0,5.0,3.0,7.0,8.0,2.0
2014-12-01,15.442667007446289,2014,6.0,5.0,3.0,7.0,8.0,2.0
2015-01-01,14.620667457580566,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-02-01,14.062666893005371,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-03-01,13.155332565307617,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-04-01,12.505999565124512,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-05-01,15.0686674118042,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-06-01,16.6299991607666,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-07-01,17.94333267211914,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-08-01,17.332666397094727,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-09-01,15.908666610717773,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-10-01,15.991999626159668,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-11-01,14.252667427062988,2015,5.5,5.5,2.5,5.0,6.0,3.5
2015-12-01,15.812666893005371,2015,5.5,5.5,2.5,5.0,6.0,3.5
2016-01-01,14.894000053405762,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-02-01,13.129332542419434,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-03-01,12.423333168029785,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-04-01,15.839332580566406,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-05-01,16.1200008392334,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-06-01,14.637332916259766,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-07-01,14.433333396911621,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-08-01,15.333999633789062,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-09-01,13.38466739654541,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-10-01,14.24666690826416,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-11-01,12.719332695007324,2016,7.0,6.0,2.0,5.0,6.0,3.0
2016-12-01,12.125332832336426,2016,7.0,6.0,2.0,5.0,6.0,3.0
2017-01-01,14.465999603271484,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-02-01,16.615999221801758,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-03-01,16.667999267578125,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-04-01,19.90133285522461,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-05-01,21.52199935913086,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-06-01,22.691333770751953,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-07-01,23.507999420166016,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-08-01,21.30466651916504,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-09-01,23.69333267211914,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-10-01,22.768667221069336,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-11-01,21.405332565307617,2017,7.0,8.0,6.0,4.0,7.0,3.0
2017-12-01,20.435333251953125,2017,7.0,8.0,6.0,4.0,7.0,3.0
2018-01-01,21.368667602539062,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-02-01,23.28333282470703,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-03-01,22.062000274658203,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-04-01,16.832000732421875,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-05-01,19.994667053222656,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-06-01,19.454666137695312,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-07-01,22.33799934387207,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-08-01,20.055999755859375,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-09-01,19.26333236694336,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-10-01,20.713333129882812,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-11-01,22.95199966430664,2018,2.5,8.0,5.0,6.0,5.0,6.0
2018-12-01,23.89933204650879,2018,2.5,8.0,5.0,6.0,5.0,6.0
2019-01-01,20.674667358398438,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-02-01,20.81399917602539,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-03-01,19.652666091918945,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-04-01,19.278667449951172,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-05-01,15.600666999816895,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-06-01,11.9313325881958,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-07-01,15.14466667175293,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-08-01,15.59000015258789,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-09-01,15.000666618347168,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-10-01,16.312667846679688,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-11-01,20.887332916259766,2019,1.0,8.0,6.0,4.0,3.0,7.0
2019-12-01,22.32466697692871,2019,1.0,8.0,6.0,4.0,3.0,7.0
2020-01-01,28.68400001525879,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-02-01,52.0,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-03-01,49.574668884277344,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-04-01,32.104000091552734,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-05-01,46.75466537475586,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-06-01,59.87333297729492,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-07-01,74.64199829101562,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-08-01,99.0,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-09-01,158.35000610351562,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-10-01,149.3866729736328,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-11-01,133.50332641601562,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2020-12-01,194.9199981689453,2020,5.666666666666667,4.111111111111111,1.8888888888888888,5.444444444444445,6.555555555555555,2.3333333333333335
2021-01-01,243.2566680908203,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-02-01,279.9366760253906,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-03-01,239.47666931152344,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-04-01,220.5833282470703,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-05-01,228.3000030517578,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-06-01,207.96665954589844,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-07-01,225.97332763671875,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-08-01,236.55667114257812,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-09-01,244.69667053222656,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-10-01,258.40667724609375,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-11-01,402.86334228515625,2021,4.25,6.75,4.0,4.75,5.75,5.0
2021-12-01,365.0,2021,4.25,6.75,4.0,4.75,5.75,5.0
2022-01-01,399.9266662597656,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-02-01,310.4166564941406,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-03-01,288.1233215332031,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-04-01,361.5299987792969,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-05-01,300.9800109863281,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-06-01,246.7899932861328,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-07-01,227.26333618164062,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-08-01,297.27667236328125,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-09-01,277.1600036621094,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-10-01,242.39999389648438,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-11-01,227.82000732421875,2022,3.125,7.75,5.375,4.125,5.875,5.0
2022-12-01,194.6999969482422,2022,3.125,7.75,5.375,4.125,5.875,5.0
2023-01-01,108.0999984741211,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-02-01,181.41000366210938,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-03-01,202.77000427246094,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-04-01,194.77000427246094,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-05-01,161.8300018310547,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-06-01,207.52000427246094,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-07-01,279.82000732421875,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-08-01,261.07000732421875,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-09-01,245.00999450683594,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-10-01,251.60000610351562,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-11-01,205.66000366210938,2023,5.125,5.75,2.875,4.5,6.375,3.625
2023-12-01,238.8300018310547,2023,5.125,5.75,2.875,4.5,6.375,3.625
2024-01-01,248.4199981689453,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-02-01,188.86000061035156,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-03-01,202.63999938964844,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-04-01,175.22000122070312,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-05-01,179.99000549316406,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-06-01,176.2899932861328,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-07-01,209.86000061035156,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-08-01,216.86000061035156,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-09-01,210.60000610351562,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-10-01,258.0199890136719,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-11-01,248.97999572753906,2024,3.8,7.0,4.2,5.7,6.5,4.0
2024-12-01,357.0899963378906,2024,3.8,7.0,4.2,5.7,6.5,4.0
2025-01-01,379.2799987792969,2025,1.0,9.0,7.0,4.0,3.0,8.0
2025-02-01,383.67999267578125,2025,1.0,9.0,7.0,4.0,3.0,8.0
